Županije,Površina,Gradovi,Općine,Naselja
Požeško-slavonska,1823,5,5,277
Grad Zagreb,641,1,0,70
Zagrebačka,3060,9,25,694
Krapinsko-zagorska,1229,7,25,423
Virovitičko-podravska,2024,3,13,188
Osječko-baranjska,4155,7,35,263
Međimurska,729,3,22,131
Primorsko-goranska,3588,14,22,510
Šibensko-kninska,2984,5,15,199
Zadarska,3646,6,28,229
Varaždinska,1262,6,22,302
Koprivničko-križevačka,1748,3,22,264
Bjelovarsko-bilogorska,2640,5,18,323
Brodsko-posavska,2030,2,26,185
Dubrovačko-neretvanska,1781,5,17,230
Istarska,2813,10,31,655
Vukovarsko-srijemska,2454,5,26,85
Splitsko-dalmatinska,4540,16,39,368
Ličko-senjska,5353,4,8,255
Sisačko-moslavačka,4468,6,13,456
Karlovačka,3626,5,17,649
